,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2022-11-11,906.8,907.4,890.45,894.4,894.4,711133,0.0,1.0
1,2022-11-10,890.05,897.95,876.1,893.6,893.6,672676,0.0,1.0
2,2022-11-09,857.0,900.75,857.0,891.2,891.2,1077908,0.0,1.0
3,2022-11-07,867.95,868.0,846.0,853.0,853.0,271579,0.0,1.0
4,2022-11-04,836.0,867.0,832.0,861.15,861.15,1551574,0.0,1.0
5,2022-11-03,829.9,837.85,823.55,832.45,832.45,576953,0.0,1.0
6,2022-11-02,854.7,854.75,830.1,833.9,833.9,397482,0.0,1.0
7,2022-11-01,829.0,844.9,823.55,841.75,841.75,299971,0.0,1.0
8,2022-10-31,821.1,830.75,819.45,823.05,823.05,166300,0.0,1.0
9,2022-10-28,824.4,834.5,817.5,820.2,820.2,198622,0.0,1.0
10,2022-10-27,801.5,823.95,794.85,820.7,820.7,351885,0.0,1.0
11,2022-10-25,808.7,812.55,797.0,800.3,800.3,765810,0.0,1.0
12,2022-10-24,808.0,809.7,802.05,805.3,805.3,40497,0.0,1.0
13,2022-10-21,822.55,824.35,799.5,801.8,801.8,203592,0.0,1.0
14,2022-10-20,800.05,822.0,795.3,819.9,819.9,161414,0.0,1.0
15,2022-10-19,814.95,823.5,801.25,804.9,804.9,447193,0.0,1.0
16,2022-10-18,792.9,814.95,789.95,810.0,810.0,327245,0.0,1.0
17,2022-10-17,780.55,790.0,771.6,786.55,786.55,905105,0.0,1.0
18,2022-10-14,805.95,805.95,778.35,780.25,780.25,227673,0.0,1.0
19,2022-10-13,806.0,811.7,776.95,784.85,784.85,260387,0.0,1.0
20,2022-10-12,801.0,806.05,786.3,803.5,803.5,195924,0.0,1.0
21,2022-10-11,814.9,820.0,793.9,797.05,797.05,824054,0.0,1.0
22,2022-10-10,806.0,813.85,799.3,807.85,807.85,160732,0.0,1.0
23,2022-10-07,822.9,826.0,806.5,816.8,816.8,233816,0.0,1.0
24,2022-10-06,832.5,835.0,822.3,824.0,824.0,274214,0.0,1.0
25,2022-10-04,803.0,826.0,790.0,823.05,823.05,390574,0.0,1.0
26,2022-10-03,823.8,834.6,772.8,785.45,785.45,848894,0.0,1.0
27,2022-09-30,821.1,830.0,801.0,821.05,821.05,302892,0.0,1.0
28,2022-09-29,841.95,847.55,813.3,816.25,816.25,352418,0.0,1.0
29,2022-09-28,836.9,846.9,823.3,827.55,827.55,224004,0.0,1.0
30,2022-09-27,860.0,875.0,833.95,844.0,844.0,549823,0.0,1.0
31,2022-09-26,910.0,910.0,855.0,863.65,863.65,414791,0.0,1.0
32,2022-09-23,947.5,951.3,910.15,913.75,913.75,335085,0.0,1.0
33,2022-09-22,934.9,953.15,928.0,946.95,946.95,338915,0.0,1.0
34,2022-09-21,972.55,976.4,917.05,932.55,932.55,580989,0.0,1.0
35,2022-09-20,973.85,987.9,967.0,969.4,969.4,288322,0.0,1.0
36,2022-09-19,945.0,972.8,935.45,959.5,959.5,748397,0.0,1.0
37,2022-09-16,971.8,976.25,926.45,937.7,937.7,561505,0.0,1.0
38,2022-09-15,955.0,972.7,950.7,968.65,968.65,284688,0.0,1.0
39,2022-09-14,930.1,958.95,930.1,947.75,947.75,480990,0.0,1.0
40,2022-09-13,945.1,953.8,932.6,948.85,948.85,601507,0.0,1.0
41,2022-09-12,915.0,941.4,911.0,938.65,938.65,673909,0.0,1.0
42,2022-09-09,889.0,925.0,886.8,907.05,907.05,1002249,0.0,1.0
43,2022-09-08,878.0,888.1,867.0,885.25,885.25,304826,0.0,1.0
44,2022-09-07,850.2,878.85,844.7,874.95,874.95,255038,0.0,1.0
45,2022-09-06,853.0,858.5,843.95,850.2,850.2,112037,0.0,1.0
46,2022-09-05,855.8,864.95,845.0,849.9,849.9,207864,0.0,1.0
47,2022-09-02,842.8,861.0,838.0,851.55,851.55,269110,0.0,1.0
48,2022-09-01,842.35,846.3,831.6,837.8,837.8,156180,0.0,1.0
49,2022-08-30,845.0,860.2,838.9,842.35,842.35,184859,0.0,1.0
50,2022-08-29,820.95,844.0,813.85,833.9,833.9,614520,0.0,1.0
51,2022-08-26,820.0,844.9,818.0,835.6,835.6,925649,0.0,1.0
52,2022-08-25,841.0,842.0,812.55,815.95,815.95,199928,0.0,1.0
53,2022-08-24,827.05,837.6,817.1,836.05,836.05,300028,0.0,1.0
54,2022-08-23,835.9,857.3,806.0,832.75,832.75,673552,0.0,1.0
55,2022-08-22,874.5,891.95,835.15,840.15,840.15,861981,0.0,1.0
